"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7464","Проверка элементов страницы ShopHome","","2026-06-13","failed","2026-06-13","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openShopProductsPage"
"","12974","Проверка удаления товара из корзины. Добавляем товар: Ledermax","","2026-06-13","passed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","7451","Проверка элементов страницы New Products","","2026-06-13","failed","2026-06-13","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openNewProductsTest"
"","14586","Проверка удаления товара из корзины. Добавляем товар: karcher","","2026-06-13","passed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","7550","Проверка поиска товара При поиске товара tool grid в списке есть товар Tool Grid Screws","","2026-06-13","failed","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","7622","Проверка наличия товара в корзине после его добавления. Добавляем товар: tools","","2026-06-13","failed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","1937","Заполнение полей регистрации","","2026-06-13","passed","2026-06-13","","Проверка заполнения регистрации","test.RegistrationTest","registrationTest"
"","7530","Проверка увеличения количества товара в корзине. Добавляем товар: cleaner","","2026-06-13","failed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","7491","Проверка увеличения количества товара в корзине. Добавляем товар: karcher","","2026-06-13","failed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","7438","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: BRUNEI","","2026-06-13","failed","2026-06-13","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","4084","Проверка элементов страницы Delivery","","2026-06-13","passed","2026-06-13","","Тестирование страницы Delivery","test.DeliveryPageTest","returnPageTest"
"","3807","Проверка заголовка главной страницы","","2026-06-13","passed","2026-06-13","","Проверка заголовка главной страницы","test.MainPageTitleTest","checkPageTitleTest"
"","14123","Проверка наличия товара в корзине после его добавления. Добавляем товар: cleaner","","2026-06-13","failed","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","7636","Проверка поиска товара При поиске товара paint в списке есть товар Paint Coating Package","","2026-06-13","failed","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","7704","Проверка поиска товара При поиске товара koch в списке есть товар Koch-Chemie Gsf","","2026-06-13","failed","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","9859","Проверка заполнения основных полей формы Affiliate","","2026-06-13","passed","2026-06-13","","Тестирование страницы Affiliate","test.AffiliatetPageTest","requestPageTest"
"","7405","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: DOMINICAN","","2026-06-13","failed","2026-06-13","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
