"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1217","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: DOMINICAN","","2026-06-13","broken","2026-06-13","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","1194","Проверка элементов страницы ShopHome","","2026-06-13","broken","2026-06-13","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openShopProductsPage"
"","1223","Проверка наличия товара в корзине после его добавления. Добавляем товар: tools","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","1220","Проверка увеличения количества товара в корзине. Добавляем товар: karcher","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","1257","Проверка удаления товара из корзины. Добавляем товар: Ledermax","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","1209","Проверка поиска товара При поиске товара paint в списке есть товар Paint Coating Package","","2026-06-13","broken","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","1191","Проверка заголовка главной страницы","","2026-06-13","broken","2026-06-13","","Проверка заголовка главной страницы","test.MainPageTitleTest","checkPageTitleTest"
"","1229","Проверка поиска товара При поиске товара koch в списке есть товар Koch-Chemie Gsf","","2026-06-13","broken","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","1200","Проверка наличия товара в корзине после его добавления. Добавляем товар: cleaner","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","putItemToBasketTest"
"","1237","Проверка увеличения количества товара в корзине. Добавляем товар: cleaner","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","checkQuantityInBasketTest"
"","1221","Проверка изменения денежной единицы при выборе страны Проверка изменения валюты при выборе страны: BRUNEI","","2026-06-13","broken","2026-06-13","","Проверка изменения денежной единицы ","test.CurrencyTest","changeCurrencyTest"
"","1229","Проверка элементов страницы New Products","","2026-06-13","broken","2026-06-13","","Тестирование функционала страниц навигационной панели","test.NavigationPanelTest","openNewProductsTest"
"","1235","Проверка поиска товара При поиске товара tool grid в списке есть товар Tool Grid Screws","","2026-06-13","broken","2026-06-13","","Тестирование функционала поиска","test.SearchTest","searchResultShouldContainTextTest"
"","1216","Проверка элементов страницы Delivery","","2026-06-13","broken","2026-06-13","","Тестирование страницы Delivery","test.DeliveryPageTest","returnPageTest"
"","1255","Проверка удаления товара из корзины. Добавляем товар: karcher","","2026-06-13","broken","2026-06-13","","Тестирование функционала добавления и удаления товара","test.BasketPageTest","deleteItemFromBasketTest"
"","2697","Проверка заполнения основных полей формы Affiliate","","2026-06-13","broken","2026-06-13","","Тестирование страницы Affiliate","test.AffiliatetPageTest","requestPageTest"
"","1927","Заполнение полей регистрации","","2026-06-13","passed","2026-06-13","","Проверка заполнения регистрации","test.RegistrationTest","registrationTest"
